Manufacturer Part Number,Manufacturer,Digi-Key Part Number,Packaging,Part Status,Quantity,Unit Price,Extended Price,Quantity Available,Mfg Std Lead Time,Description,RoHS Status,Lead Free Status,REACH Status
AQY232SZ,Panasonic Electric Works,255-2690-1-ND,Cut Tape (CT),Active,15,4.481,$67.21 ,7739,16 Weeks,SSR RELAY SPST-NO 500MA 0-60V,RoHS Compliant,Lead free,Not Available
CR0603-FX-1101ELF,Bourns Inc.,CR0603-FX-1101ELFCT-ND,Cut Tape (CT),Active,18,0.047,$0.84 ,32367,14 Weeks,RES SMD 1.1K OHM 1% 1/10W 0603,ROHS3 Compliant,Lead free,REACH Unaffected
1051330001,Molex,WM9734CT-ND,Cut Tape (CT),Active,2,1.4,$2.80 ,38785,13 Weeks,CONN RCPT USB2.0 MICRO B SMD,ROHS3 Compliant,Lead free,REACH Unaffected
AP2112K-3.3TRG1,Diodes Incorporated,AP2112K-3.3TRG1DICT-ND,Cut Tape (CT),Active,4,0.72,$2.88 ,0,30 Weeks,IC REG LINEAR 3.3V 600MA SOT25,ROHS3 Compliant,Lead free,REACH Unaffected
7216,Visual Communications Company - VCC,VCC7216-ND,Bulk,Not For New Designs,45,1.046,$47.07 ,2771,12 Weeks,LAMP INCAND T-1 WIRE TERM 5V,ROHS3 Compliant,Lead free,REACH Unaffected
CRGCQ0603F10K,TE Connectivity Passive Product,A129700CT-ND,Cut Tape (CT),Active,6,0.15,$0.90 ,15229,19 Weeks,CRGCQ 0603 10K 1%,RoHS Compliant,Lead free,Not Available
CRGP0603F1K5,TE Connectivity Passive Product,A130418CT-ND,Cut Tape (CT),Active,6,0.22,$1.32 ,51357,19 Weeks,CRGP 0603 1K5 1%,RoHS Compliant,Lead free,Not Available
LT Q39G-Q1OO-25-1,OSRAM Opto Semiconductors Inc.,475-3442-1-ND,Cut Tape (CT),Active,2,0.57,$1.14 ,46892,12 Weeks,LED GREEN DIFFUSED 0603 SMD,ROHS3 Compliant,Lead free,REACH Unaffected
LS Q976-NR-1,OSRAM Opto Semiconductors Inc.,475-2512-1-ND,Cut Tape (CT),Active,2,0.39,$0.78 ,97330,12 Weeks,LED RED DIFFUSED 0603 SMD,ROHS3 Compliant,Lead free,REACH Unaffected
C0805C106K4PAC7210,KEMET,399-C0805C106K4PAC7210CT-ND,Cut Tape (CT),Active,6,0.28,$1.68 ,7342,30 Weeks,CAP CER 10UF 16V X5R 0805,ROHS3 Compliant,Not Available,REACH Unaffected
CL10A105KO8NNNC,Samsung Electro-Mechanics,1276-1034-1-ND,Cut Tape (CT),Active,6,0.14,$0.84 ,68766,22 Weeks,CAP CER 1UF 16V X5R 0603,ROHS3 Compliant,Lead free,REACH Unaffected
KMR231NG LFS,C&K,CKN10246CT-ND,Cut Tape (CT),Active,2,0.8,$1.60 ,14433,18 Weeks,SWITCH TACTILE SPST-NO 0.05A 32V,ROHS3 Compliant,Lead free,REACH Unaffected
ATSAMD21E18A-MU,Microchip Technology,ATSAMD21E18A-MU-ND,Tray,Active,2,4.85,$9.70 ,850,35 Weeks,IC MCU 32BIT 256KB FLASH 32QFN,ROHS3 Compliant,Lead free,REACH Unaffected
CR0603-FX-1501ELF,Bourns Inc.,118-CR0603-FX-1501ELFCT-ND,Cut Tape (CT),Active,4,0.15,$0.60 ,2301,14 Weeks,RES SMD 1.5K OHM 1% 1/10W 0603,ROHS3 Compliant,Lead free,REACH Unaffected
,,,,,,,,,,,,,
This list includes plenty of spares and only adds a few extra dollars to the total price but worth it in case you mess up/lose parts.,,,,,,,,,,,,,
